datetime_beginning_ept,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,forecast_hour_beginning_ept,forecast_load_mw,
6/1/2023 0:00,19.53,19.831099,0.280685,0.020414,6/1/2023 0:00,78288,
6/1/2023 1:00,17.45,17.712096,0.267938,-0.005842,6/1/2023 1:00,74464,
6/1/2023 2:00,15.87,16.022629,0.146615,0.006014,6/1/2023 2:00,71985,
6/1/2023 3:00,15.17,15.288791,0.12035,-0.00156,6/1/2023 3:00,70579,
6/1/2023 4:00,16.04,16.1185,0.081122,-0.002622,6/1/2023 4:00,70769,
6/1/2023 5:00,18.25,18.468421,0.196945,0.021476,6/1/2023 5:00,73591,
6/1/2023 6:00,21.7,22.21966,0.485444,0.034216,6/1/2023 6:00,78603,
6/1/2023 7:00,22.86,23.503824,0.580879,0.062945,6/1/2023 7:00,83127,
6/1/2023 8:00,25.27,26.829324,1.455888,0.103436,6/1/2023 8:00,86494,
6/1/2023 9:00,29.38,31.138122,1.598184,0.159938,6/1/2023 9:00,89807,
6/1/2023 10:00,31.2,33.387451,2.00788,0.179571,6/1/2023 10:00,93568,
6/1/2023 11:00,36.25,38.731765,2.22906,0.252704,6/1/2023 11:00,97676,
6/1/2023 12:00,43.12,45.951865,2.574839,0.257026,6/1/2023 12:00,101476,
6/1/2023 13:00,45.8,49.871776,3.807983,0.263793,6/1/2023 13:00,105462,
6/1/2023 14:00,52.14,56.401679,3.89118,0.370498,6/1/2023 14:00,109072,
6/1/2023 15:00,57.3,62.244961,4.627536,0.317425,6/1/2023 15:00,112128,
6/1/2023 16:00,68.51,73.78463,4.923476,0.351154,6/1/2023 16:00,114991,
6/1/2023 17:00,76.82,82.357139,5.161165,0.375974,6/1/2023 17:00,116221,
6/1/2023 18:00,63.28,67.352798,3.759443,0.313356,6/1/2023 18:00,115060,
6/1/2023 19:00,51,54.731636,3.52619,0.205446,6/1/2023 19:00,111747,
6/1/2023 20:00,41.26,44.074088,2.667826,0.146262,6/1/2023 20:00,108561,
6/1/2023 21:00,36.35,38.558254,2.063564,0.14469,6/1/2023 21:00,103880,
6/1/2023 22:00,29.39,31.060384,1.544051,0.126333,6/1/2023 22:00,96492,
6/1/2023 23:00,27.31,28.219824,0.817009,0.092814,6/1/2023 23:00,88905,
6/2/2023 0:00,22.74,22.968456,0.234357,-0.005901,6/2/2023 0:00,81814,
6/2/2023 1:00,20.07,20.096662,0.06423,-0.037568,6/2/2023 1:00,77332,
6/2/2023 2:00,17.19,17.298754,0.114542,-0.005789,6/2/2023 2:00,74248,
6/2/2023 3:00,15.2,15.307359,0.09923,0.008129,6/2/2023 3:00,72422,
6/2/2023 4:00,15.42,15.530198,0.093975,0.016223,6/2/2023 4:00,72274,
6/2/2023 5:00,18.11,18.192862,0.078883,0.003979,6/2/2023 5:00,74658,
6/2/2023 6:00,21.63,21.679112,0.063988,-0.014876,6/2/2023 6:00,79255,
6/2/2023 7:00,22.46,22.586919,0.123397,0.003523,6/2/2023 7:00,83641,
6/2/2023 8:00,25.39,25.528716,0.162687,-0.023971,6/2/2023 8:00,88197,
6/2/2023 9:00,27.28,27.363618,0.132778,-0.04916,6/2/2023 9:00,93087,
6/2/2023 10:00,31.8,32.119406,0.297418,0.021988,6/2/2023 10:00,98735,
6/2/2023 11:00,35.62,35.99707,0.328525,0.048545,6/2/2023 11:00,104520,
6/2/2023 12:00,44.03,45.203279,1.010409,0.16287,6/2/2023 12:00,110275,
6/2/2023 13:00,48.17,50.277086,1.88549,0.221596,6/2/2023 13:00,115822,
6/2/2023 14:00,56.44,59.34832,2.643086,0.265234,6/2/2023 14:00,120314,
6/2/2023 15:00,67.46,70.154697,2.34893,0.345767,6/2/2023 15:00,123950,
6/2/2023 16:00,83.11,86.889887,3.247286,0.532601,6/2/2023 16:00,126405,
6/2/2023 17:00,82.55,87.024399,3.921902,0.552497,6/2/2023 17:00,126479,
6/2/2023 18:00,66,69.490933,3.11444,0.376493,6/2/2023 18:00,123529,
6/2/2023 19:00,49.16,51.795968,2.324881,0.311087,6/2/2023 19:00,118673,
6/2/2023 20:00,39.23,41.445637,1.952142,0.263495,6/2/2023 20:00,114010,
6/2/2023 21:00,32.72,34.013871,1.130078,0.163793,6/2/2023 21:00,108633,
6/2/2023 22:00,29.95,30.422154,0.426962,0.045192,6/2/2023 22:00,101111,
6/2/2023 23:00,24.94,25.259867,0.293963,0.025904,6/2/2023 23:00,93254,
6/3/2023 0:00,21.63,21.609352,0.025338,-0.045987,6/3/2023 0:00,84538,
6/3/2023 1:00,18.91,18.802639,-0.0307,-0.076661,6/3/2023 1:00,79536,
6/3/2023 2:00,17.35,17.347035,0.019559,-0.022524,6/3/2023 2:00,75883,
6/3/2023 3:00,15.27,15.260718,0.009697,-0.018979,6/3/2023 3:00,73403,
6/3/2023 4:00,14.95,14.927697,-0.006028,-0.016275,6/3/2023 4:00,71913,
6/3/2023 5:00,14.84,14.72148,-0.088006,-0.030514,6/3/2023 5:00,71969,
6/3/2023 6:00,14.9,14.82522,-0.052769,-0.022011,6/3/2023 6:00,72822,
6/3/2023 7:00,15.78,15.708083,-0.067435,-0.004482,6/3/2023 7:00,74976,
6/3/2023 8:00,19.48,19.569858,0.066143,0.023716,6/3/2023 8:00,79303,
6/3/2023 9:00,23.65,23.926826,0.219577,0.057249,6/3/2023 9:00,84216,
6/3/2023 10:00,25.83,26.795266,0.847628,0.117637,6/3/2023 10:00,88893,
6/3/2023 11:00,30.04,31.349774,1.203014,0.10676,6/3/2023 11:00,93213,
6/3/2023 12:00,32.45,34.163694,1.628925,0.084769,6/3/2023 12:00,96808,
6/3/2023 13:00,34.72,36.848091,1.997653,0.130438,6/3/2023 13:00,99636,
6/3/2023 14:00,37.21,40.170917,2.846071,0.114846,6/3/2023 14:00,101676,
6/3/2023 15:00,39.85,43.05716,3.113879,0.093281,6/3/2023 15:00,103086,
6/3/2023 16:00,43.16,46.296689,3.082424,0.054265,6/3/2023 16:00,104182,
6/3/2023 17:00,43.79,47.031991,3.20605,0.035941,6/3/2023 17:00,104171,
6/3/2023 18:00,39.28,41.815508,2.434008,0.101501,6/3/2023 18:00,102311,
6/3/2023 19:00,34.13,36.31723,2.075692,0.111538,6/3/2023 19:00,99101,
6/3/2023 20:00,29.52,30.838154,1.293191,0.024963,6/3/2023 20:00,96277,
6/3/2023 21:00,27.66,28.75743,1.080746,0.016684,6/3/2023 21:00,92758,
6/3/2023 22:00,23.26,23.921327,0.643277,0.01805,6/3/2023 22:00,87413,
6/3/2023 23:00,19.28,19.64512,0.331677,0.033444,6/3/2023 23:00,81614,
6/4/2023 0:00,16.21,16.450712,0.249214,-0.008503,6/4/2023 0:00,74846,
6/4/2023 1:00,14.63,14.806992,0.200051,-0.023059,6/4/2023 1:00,70995,
6/4/2023 2:00,13.63,13.835648,0.207374,-0.001726,6/4/2023 2:00,68263,
6/4/2023 3:00,11.87,12.036097,0.174819,-0.008723,6/4/2023 3:00,66415,
6/4/2023 4:00,11.66,11.828752,0.184361,-0.015609,6/4/2023 4:00,65475,
6/4/2023 5:00,11.24,11.409248,0.17683,-0.007582,6/4/2023 5:00,65413,
6/4/2023 6:00,10.61,10.731163,0.120632,0.000531,6/4/2023 6:00,65911,
6/4/2023 7:00,12.02,12.278134,0.248483,0.009651,6/4/2023 7:00,67382,
6/4/2023 8:00,13.75,14.175717,0.378987,0.046729,6/4/2023 8:00,70287,
6/4/2023 9:00,15.09,15.770597,0.569765,0.110832,6/4/2023 9:00,73633,
6/4/2023 10:00,16.37,17.11596,0.609106,0.136855,6/4/2023 10:00,76660,
6/4/2023 11:00,18,18.986301,0.819936,0.166365,6/4/2023 11:00,79618,
6/4/2023 12:00,19.15,20.561082,1.219463,0.191619,6/4/2023 12:00,82395,
6/4/2023 13:00,20.56,22.227171,1.428677,0.238494,6/4/2023 13:00,84915,
6/4/2023 14:00,23.21,25.56612,2.063649,0.292471,6/4/2023 14:00,87187,
6/4/2023 15:00,25.76,28.605922,2.528592,0.31733,6/4/2023 15:00,89726,
6/4/2023 16:00,28.41,31.511121,2.798566,0.302555,6/4/2023 16:00,92350,
6/4/2023 17:00,31.63,34.156516,2.246409,0.280106,6/4/2023 17:00,94247,
6/4/2023 18:00,34.43,36.657124,1.970499,0.256626,6/4/2023 18:00,93995,
6/4/2023 19:00,32.24,33.73003,1.304611,0.185419,6/4/2023 19:00,92490,
6/4/2023 20:00,29.12,29.914992,0.704796,0.090196,6/4/2023 20:00,90705,
6/4/2023 21:00,27.9,28.308184,0.354396,0.053789,6/4/2023 21:00,87764,
6/4/2023 22:00,20.58,20.912652,0.295878,0.036775,6/4/2023 22:00,82474,
6/4/2023 23:00,17.08,17.20638,0.118297,0.008084,6/4/2023 23:00,76792,
6/5/2023 0:00,15.76,16.234236,0.489009,-0.014773,6/5/2023 0:00,71218,
6/5/2023 1:00,14.43,14.705644,0.297593,-0.021948,6/5/2023 1:00,68099,
6/5/2023 2:00,12.45,12.710243,0.283175,-0.022932,6/5/2023 2:00,66205,
6/5/2023 3:00,12.27,13.109337,0.863337,-0.024,6/5/2023 3:00,65351,
6/5/2023 4:00,13.13,14.008153,0.921662,-0.04351,6/5/2023 4:00,65994,
6/5/2023 5:00,16.16,17.210024,1.083751,-0.033727,6/5/2023 5:00,68957,
6/5/2023 6:00,17.92,18.89307,1.000104,-0.027034,6/5/2023 6:00,73800,
6/5/2023 7:00,19.39,20.300943,0.928996,-0.018053,6/5/2023 7:00,78155,
6/5/2023 8:00,20.39,21.179795,0.791306,-0.001511,6/5/2023 8:00,80995,
6/5/2023 9:00,21.56,22.598831,1.024291,0.01454,6/5/2023 9:00,83314,
6/5/2023 10:00,23.89,25.381967,1.433348,0.058619,6/5/2023 10:00,85778,
6/5/2023 11:00,25.42,27.249077,1.729069,0.100007,6/5/2023 11:00,88295,
6/5/2023 12:00,27.36,30.030224,2.549372,0.120852,6/5/2023 12:00,90946,
6/5/2023 13:00,28.78,31.686352,2.797104,0.109248,6/5/2023 13:00,93773,
6/5/2023 14:00,30.8,34.23375,3.285314,0.148436,6/5/2023 14:00,96364,
6/5/2023 15:00,35.25,38.493368,3.069351,0.174017,6/5/2023 15:00,98795,
6/5/2023 16:00,41.63,45.324657,3.463251,0.231406,6/5/2023 16:00,101308,
6/5/2023 17:00,45.77,49.175346,3.147899,0.257447,6/5/2023 17:00,102867,
6/5/2023 18:00,41.12,43.841071,2.481877,0.239194,6/5/2023 18:00,102369,
6/5/2023 19:00,36.32,38.638818,2.156378,0.16244,6/5/2023 19:00,100111,
6/5/2023 20:00,32.26,33.747508,1.385456,0.102052,6/5/2023 20:00,97522,
6/5/2023 21:00,30.35,31.401201,1.003146,0.048055,6/5/2023 21:00,93901,
6/5/2023 22:00,27.01,28.432604,1.368606,0.053998,6/5/2023 22:00,87442,
6/5/2023 23:00,20.2,20.839459,0.619274,0.020185,6/5/2023 23:00,80574,
6/6/2023 0:00,19.3,19.485179,0.194075,-0.008896,6/6/2023 0:00,74429,
6/6/2023 1:00,17.3,17.403615,0.117136,-0.013522,6/6/2023 1:00,70786,
6/6/2023 2:00,14.99,15.014837,0.059608,-0.034771,6/6/2023 2:00,68547,
6/6/2023 3:00,13.45,13.457823,0.03857,-0.030747,6/6/2023 3:00,67294,
6/6/2023 4:00,14.34,14.378658,0.058784,-0.020127,6/6/2023 4:00,67738,
6/6/2023 5:00,16.25,16.497449,0.234475,0.012974,6/6/2023 5:00,70552,
6/6/2023 6:00,19.33,19.535523,0.197072,0.008451,6/6/2023 6:00,75502,
6/6/2023 7:00,20.36,20.669873,0.255277,0.054595,6/6/2023 7:00,80010,
6/6/2023 8:00,22.49,22.987235,0.395207,0.102028,6/6/2023 8:00,83140,
6/6/2023 9:00,24.53,25.10963,0.482302,0.097328,6/6/2023 9:00,85793,
6/6/2023 10:00,27.67,29.166956,1.361962,0.134994,6/6/2023 10:00,88767,
6/6/2023 11:00,29.53,31.375162,1.703409,0.141754,6/6/2023 11:00,91852,
6/6/2023 12:00,31.09,33.558907,2.319925,0.148982,6/6/2023 12:00,95028,
6/6/2023 13:00,33.69,37.002817,3.138217,0.1746,6/6/2023 13:00,98225,
6/6/2023 14:00,36.02,39.842684,3.633785,0.1889,6/6/2023 14:00,100910,
6/6/2023 15:00,40.59,44.922617,4.074922,0.257695,6/6/2023 15:00,103363,
6/6/2023 16:00,50.75,54.344296,3.299561,0.294734,6/6/2023 16:00,105488,
