evaluated_at_utc,evaluated_at_ept,forecast_hour_beginning_utc,forecast_hour_beginning_ept,forecast_area,forecast_load_mw
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,MIDATL,23447
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,MIDATL,23583
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,MIDATL,23583
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,MIDATL,23583
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,MIDATL,23583
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 5:00:00 AM,6/1/2023 1:00:00 AM,MIDATL,22382
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 5:00:00 AM,6/1/2023 1:00:00 AM,MIDATL,22484
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 5:00:00 AM,6/1/2023 1:00:00 AM,MIDATL,22484
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 5:00:00 AM,6/1/2023 1:00:00 AM,MIDATL,22484
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 5:00:00 AM,6/1/2023 1:00:00 AM,MIDATL,22484
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 6:00:00 AM,6/1/2023 2:00:00 AM,MIDATL,21766
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 6:00:00 AM,6/1/2023 2:00:00 AM,MIDATL,21827
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 6:00:00 AM,6/1/2023 2:00:00 AM,MIDATL,21827
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 6:00:00 AM,6/1/2023 2:00:00 AM,MIDATL,21827
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 6:00:00 AM,6/1/2023 2:00:00 AM,MIDATL,21827
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 7:00:00 AM,6/1/2023 3:00:00 AM,MIDATL,21491
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 7:00:00 AM,6/1/2023 3:00:00 AM,MIDATL,21529
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 7:00:00 AM,6/1/2023 3:00:00 AM,MIDATL,21529
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 7:00:00 AM,6/1/2023 3:00:00 AM,MIDATL,21529
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 7:00:00 AM,6/1/2023 3:00:00 AM,MIDATL,21529
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,MIDATL,21775
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,MIDATL,21787
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,MIDATL,21787
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,MIDATL,21787
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,MIDATL,21787
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 8:00:00 AM,6/1/2023 4:00:00 AM,MIDATL,21666
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,MIDATL,22998
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,MIDATL,22997
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,MIDATL,22997
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,MIDATL,22997
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,MIDATL,22997
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 9:00:00 AM,6/1/2023 5:00:00 AM,MIDATL,22997
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,MIDATL,24900
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,MIDATL,24886
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,MIDATL,24886
